ID,quote,movie_title,actor_name,category,publish_date,source,context,rating,language,author,author_bio,,,,,,,,,,,
1,Life’s simple. You make choices and you don’t look back,The Fast and The Furious: Tokyo Drift,Han Lue,Action,2006,,,7.1,English,Sung Kang,"Kang was born in Clarkston, Georgia, to South Korean immigrant parents. He was raised by his Korean mother and African American stepfather in Gainesville, Georgia.He moved to Barstow, California, while in high school.",,,,,,,,,,,
2,"Hasta la vista, baby.",Terminator 2: Judgment Day,Arnold Schwarzenegger (The Terminator),Science Fiction/Action,1991,Terminator 2: Judgment Day,The Terminator's iconic catchphrase.,Null,English,James Cameron (Director of the film),James Cameron is a Canadian filmmaker known for directing many successful films.,,,,,,,,,,,
3,I see you.,Avatar,Sam Worthington (Jake Sully),Science Fiction/Adventure,2009,Avatar,Jake's phrase in the Na'vi language.,Null,Na'vi (Fictional language),James Cameron (Director of the film),Null,,,,,,,,,,,
4,Love means never having to say you're sorry.,Love Story,Ryan O'Neal (Oliver Barrett IV),Drama/Romance,1970,Love Story,A famous romantic line from the film.,Null,English,Erich Segal (Author of 'Love Story' book),Erich Segal was an American author and screenwriter.,,,,,,,,,,,
5,You had me at 'Hello.',Jerry Maguire,Renée Zellweger (Dorothy Boyd),Drama/Romance,1996,Jerry Maguire,Dorothy's response to Jerry's heartfelt speech.,Null,English,Cameron Crowe (Director/Screenwriter of the film),Cameron Crowe is an American filmmaker and screenwriter.,,,,,,,,,,,
6,I'm the king of the world!,Titanic,Leonardo DiCaprio (Jack Dawson),Romance/Drama,1997,Titanic,Jack's exuberant moment on the Titanic's bow.,Null,English,Null,Null,,,,,,,,,,,
7,"I'm not a smart man, but I know what love is.",Forrest Gump,Tom Hanks (Forrest Gump),Drama/Comedy,1994,Forrest Gump,Forrest's reflection on love and simplicity.,Null,English,Null,Null,,,,,,,,,,,
8,"It's not who I am underneath, but what I do that defines me.",Batman Begins,Christian Bale (Bruce Wayne/Batman),Superhero/Action,2005,Batman Begins,Batman's philosophy on identity and actions.,Null,English,Christopher Nolan (Director/Screenwriter of the film),Christopher Nolan is a British-American filmmaker known for his work in the Batman trilogy.,,,,,,,,,,,
9,I am vengeance. I am the night. I am Batman.,Batman: The Animated Series (TV Series),Kevin Conroy (Voice of Batman),Animation/Superhero,1992 (TV Series),Batman: The Animated Series,Batman's introduction in the animated series.,Null,English,Null,Null,,,,,,,,,,,
10,"Wax on, wax off.",The Karate Kid,Pat Morita (Mr. Miyagi),Drama/Action,1984,The Karate Kid,Mr. Miyagi's teaching method.,Null,English,Null,Null,,,,,,,,,,,
11,Nobody puts Baby in a corner.,Dirty Dancing,Patrick Swayze (Johnny Castle),Romance/Drama,1987,Dirty Dancing,Johnny's declaration of love for Baby.,Null,English,Null,Null,,,,,,,,,,,
12,To the infinity and beyond!,Toy Story 3,Tim Allen (Buzz Lightyear),Animation/Family,2010,Toy Story 3,Buzz Lightyear's enthusiastic variation of his catchphrase.,Null,English,Null,Null,,,,,,,,,,,
13,"I'll get you, my pretty, and your little dog too!",The Wizard of Oz,Margaret Hamilton (The Wicked Witch of the West),Fantasy/Adventure,1939,The Wizard of Oz,The Wicked Witch's threat to Dorothy.,Null,English,L. Frank Baum (Author of 'The Wonderful Wizard of Oz,,,,,,,,,,,,
14,"I could dance with you till the cows come home... on second thought, I'd rather dance with the cows till you come home.",Duck Soup,Groucho Marx (Rufus T. Firefly),Comedy,1933,Duck Soup,Groucho Marx's humorous line.,Null,English,Null,Null,,,,,,,,,,,
